"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","43,455.00","43,168.13","43,716.00","42,857.94","2.17B","0.23%"
"11/01/2025","43,357.01","43,143.45","45,071.84","42,018.31","8.43B","0.42%"
"10/01/2025","43,175.32","42,686.01","43,540.41","41,360.08","11.18B","1.05%"
"09/01/2025","42,725.32","42,378.37","43,111.43","41,468.18","8.64B","1.25%"
"08/01/2025","42,196.20","40,682.47","43,564.12","39,714.43","8.47B","2.95%"
"07/01/2025","40,987.69","39,754.14","41,800.86","39,480.65","8.52B","3.00%"
"06/01/2025","39,792.22","39,954.76","40,675.72","38,605.47","9.06B","-0.74%"
"05/01/2025","40,087.40","38,063.87","40,708.60","37,902.31","11.97B","6.60%"
"04/01/2025","37,604.82","38,240.40","38,623.58","31,945.73","14.42B","-1.18%"
"03/01/2025","38,051.99","38,644.20","39,825.91","37,532.96","14.22B","-1.56%"
"02/01/2025","38,655.09","35,928.85","39,251.82","35,816.01","14.99B","5.99%"
"01/01/2025","36,471.75","34,348.16","36,628.29","33,780.24","10.69B","6.69%"
"12/01/2024","34,186.18","33,238.13","35,007.21","33,100.31","10.07B","2.31%"
"11/01/2024","33,414.56","34,314.35","34,968.58","32,709.22","9.69B","-2.53%"
"10/01/2024","34,281.24","34,231.23","35,277.61","33,128.97","9.90B","0.46%"
"09/01/2024","34,125.26","34,392.75","34,737.62","32,973.59","9.59B","-0.72%"
"08/01/2024","34,372.67","32,874.30","34,372.67","31,056.80","7.76B","1.80%"
"07/01/2024","33,763.86","33,717.45","34,638.45","33,472.62","395.51M","1.84%"
"06/01/2024","33,154.05","34,805.00","34,865.00","33,032.15","365.94M","-3.88%"
"05/01/2024","34,492.41","33,790.00","34,552.62","33,553.00","1.05B","2.21%"
"04/01/2024","33,746.66","34,747.00","34,912.00","33,307.00","453.15M","-2.13%"
"03/01/2024","34,480.87","32,772.05","34,858.00","32,739.19","18.96B","5.83%"
"02/01/2024","32,580.94","30,643.09","32,784.99","30,534.31","10.75B","5.97%"
"01/01/2024","30,744.24","30,519.55","30,922.01","29,925.99","9.14B","1.29%"
"12/01/2023","30,351.62","29,835.59","30,652.90","29,755.02","8.66B","2.07%"
"11/01/2023","29,737.38","27,843.29","29,882.68","27,676.63","10.08B","7.19%"
"10/01/2023","27,741.91","28,243.26","28,753.37","27,078.49","11.03B","-1.78%"
"09/01/2023","28,243.26","28,814.65","29,275.42","27,811.08","10.08B","-2.04%"
"08/01/2023","28,831.52","29,642.17","29,757.68","27,566.16","9.46B","-2.74%"
"07/01/2023","29,644.71","28,379.06","29,712.36","27,381.32","7.82B","5.01%"
"06/01/2023","28,230.83","26,279.84","28,312.24","26,277.60","8.82B","8.37%"
"05/01/2023","26,051.33","27,163.33","27,674.33","26,000.47","8.91B","-3.79%"
"04/01/2023","27,077.44","27,183.07","28,109.62","26,668.16","7.92B","-0.13%"
"03/01/2023","27,113.95","27,560.73","28,049.84","24,751.07","12.18B","-1.33%"
"02/01/2023","27,478.37","26,708.34","27,876.22","26,627.10","12.78B","3.30%"
"01/01/2023","26,599.74","23,868.50","26,622.96","23,861.97","10.43B","12.20%"
"12/01/2022","23,706.96","24,805.53","24,899.20","23,353.17","7.64B","-3.67%"
"11/01/2022","24,610.29","22,859.53","24,803.45","22,507.35","11.13B","8.64%"
"10/01/2022","22,652.11","20,474.53","22,725.16","20,191.69","8.58B","9.70%"
"09/01/2022","20,648.85","21,337.51","22,881.81","20,183.45","10.48B","-4.22%"
"08/01/2022","21,559.32","22,487.91","23,153.82","21,538.53","8.02B","-3.78%"
"07/01/2022","22,405.48","21,067.45","22,494.08","20,420.57","9.27B","5.22%"
"06/01/2022","21,293.86","24,656.86","24,694.59","21,141.06","8.48B","-13.10%"
"05/01/2022","24,505.08","24,042.12","24,835.46","22,832.56","8.54B","1.04%"
"04/01/2022","24,252.16","25,054.58","25,296.51","23,304.27","8.08B","-3.07%"
"03/01/2022","25,021.26","25,399.77","25,630.01","21,060.07","18.01B","-1.55%"
"02/01/2022","25,415.89","27,023.82","27,549.62","24,507.08","10.40B","-5.21%"
"01/01/2022","26,814.05","27,408.89","28,212.68","25,784.68","8.86B","-1.95%"
"12/01/2021","27,346.83","26,039.43","27,496.55","25,783.03","7.74B","5.94%"
"11/01/2021","25,814.34","27,020.30","27,968.91","25,517.71","15.42B","-3.95%"
"10/01/2021","26,875.96","25,305.64","27,049.32","25,276.17","8.94B","4.64%"
"09/01/2021","25,683.81","26,186.00","26,397.76","24,941.19","8.46B","-1.25%"
"08/01/2021","26,009.29","25,535.52","26,687.97","25,275.77","6.06B","2.55%"
"07/01/2021","25,363.02","25,256.77","25,540.91","23,817.66","7.26B","1.04%"
"06/01/2021","25,102.04","25,272.66","25,926.66","24,903.25","7.33B","-0.27%"
"05/01/2021","25,170.55","24,196.26","25,278.91","23,898.05","9.12B","4.26%"
"04/01/2021","24,141.16","24,730.95","24,939.00","23,916.97","7.22B","-2.06%"
"03/01/2021","24,648.56","23,123.23","24,777.97","22,795.55","12.76B","7.88%"
"02/01/2021","22,848.58","21,737.03","23,652.45","21,618.50","10.21B","5.92%"
"01/01/2021","21,572.53","22,398.06","23,003.56","21,311.51","8.55B","-2.97%"
"12/01/2020","22,232.90","22,193.10","22,395.11","21,087.10","8.25B","0.78%"
"11/01/2020","22,060.98","17,967.70","22,387.26","17,806.44","12.72B","22.95%"
"10/01/2020","17,943.11","19,176.56","19,764.74","17,636.38","8.93B","-5.64%"
"09/01/2020","19,015.27","19,776.36","20,140.84","18,545.92","8.94B","-3.15%"
"08/01/2020","19,633.69","19,136.52","20,471.63","18,948.81","7.86B","2.84%"
"07/01/2020","19,091.93","19,452.48","21,133.43","19,013.37","9.45B","-1.46%"
"06/01/2020","19,375.52","18,437.40","20,399.38","18,236.52","13.66B","6.47%"
"05/01/2020","18,197.56","17,156.75","18,414.02","16,551.28","9.53B","2.87%"
"04/01/2020","17,690.49","16,600.06","18,302.85","16,384.35","9.50B","3.75%"
"03/01/2020","17,050.94","22,333.17","22,361.13","14,153.09","20.54B","-22.44%"
"02/01/2020","21,984.21","23,297.09","25,483.05","21,697.94","11.20B","-5.39%"
"01/01/2020","23,237.03","23,606.97","24,197.66","23,207.90","8.22B","-1.15%"
"12/01/2019","23,506.37","23,297.68","24,003.64","22,581.12","6.33B","1.06%"
"11/01/2019","23,259.33","22,734.64","23,827.58","22,721.16","8.29B","2.49%"
"10/01/2019","22,693.77","22,184.75","22,783.36","21,127.43","8.88B","2.65%"
"09/01/2019","22,107.70","21,390.48","22,282.94","21,311.18","8.44B","3.68%"
"08/01/2019","21,322.90","21,307.36","21,605.79","19,936.13","8.61B","-0.35%"
"07/01/2019","21,398.19","21,463.79","22,357.39","21,235.08","8.67B","0.77%"
"06/01/2019","21,234.79","19,679.84","21,511.39","19,593.70","8.08B","7.23%"
"05/01/2019","19,802.11","21,834.44","21,914.77","19,535.50","10.29B","-9.50%"
"04/01/2019","21,881.33","21,404.00","22,052.83","21,348.90","8.29B","2.80%"
"03/01/2019","21,286.13","20,798.07","21,483.53","20,385.86","10.01B","3.03%"
"02/01/2019","20,659.46","19,752.12","20,683.05","19,267.89","9.82B","4.71%"
"01/01/2019","19,730.78","18,191.76","19,904.79","17,959.39","10.06B","7.68%"
"12/01/2018","18,324.03","19,589.95","19,674.86","17,914.03","7.38B","-4.51%"
"11/01/2018","19,188.97","19,014.88","19,623.64","18,453.86","9.05B","0.73%"
"10/01/2018","19,050.22","20,602.28","21,078.01","18,411.43","11.32B","-8.02%"
"09/01/2018","20,711.70","20,269.06","21,680.00","20,253.27","9.14B","2.18%"
"08/01/2018","20,269.47","22,224.31","22,224.46","20,236.27","7.69B","-8.76%"
"07/01/2018","22,215.69","21,411.00","22,243.62","21,168.66","7.38B","2.73%"
"06/01/2018","21,626.27","22,251.33","22,516.62","21,157.47","9.93B","-0.72%"
"05/01/2018","21,784.18","24,014.71","24,544.26","21,122.51","13.34B","-9.15%"
"04/01/2018","23,979.37","22,288.50","24,073.69","22,205.68","9.23B","7.00%"
