"Date","Price","Open","High","Low","Change %"
"12/01/2025","3.539","3.467","3.543","3.433","3.97%"
"11/01/2025","3.404","3.405","3.473","3.368","0.60%"
"10/01/2025","3.384","3.549","3.568","3.344","-5.06%"
"09/01/2025","3.564","3.634","3.709","3.480","-1.40%"
"08/01/2025","3.615","3.538","3.617","3.451","2.23%"
"07/01/2025","3.536","3.474","3.618","3.461","0.83%"
"06/01/2025","3.507","3.506","3.546","3.408","0.31%"
"05/01/2025","3.496","3.628","3.711","3.483","-2.24%"
"04/01/2025","3.576","3.786","3.882","3.539","-7.29%"
"03/01/2025","3.857","3.542","3.955","3.542","11.04%"
"02/01/2025","3.474","3.507","3.634","3.444","-2.21%"
"01/01/2025","3.552","3.530","3.835","3.530","0.94%"
"12/01/2024","3.519","3.284","3.582","3.162","7.55%"
"11/01/2024","3.272","3.677","3.842","3.275","-10.65%"
"10/01/2024","3.662","3.439","3.730","3.338","5.76%"
"09/01/2024","3.463","3.732","3.743","3.418","-6.19%"
"08/01/2024","3.691","3.648","3.727","3.547","1.04%"
"07/01/2024","3.653","4.037","4.142","3.649","-10.38%"
"06/01/2024","4.076","3.967","4.179","3.802","2.21%"
"05/01/2024","3.988","3.877","4.024","3.689","2.84%"
"04/01/2024","3.878","3.677","4.028","3.654","5.47%"
"03/01/2024","3.677","3.677","3.677","3.677","-4.24%"
"02/01/2024","3.840","3.840","3.840","3.840","3.03%"
"01/01/2024","3.727","3.727","3.727","3.727","0.40%"
"12/01/2023","3.712","4.228","4.230","3.468","-12.37%"
"11/01/2023","4.236","4.236","4.236","4.236","-10.37%"
"10/01/2023","4.726","4.726","4.726","4.726","-1.54%"
"09/01/2023","4.800","4.800","4.800","4.800","16.39%"
"08/01/2023","4.124","4.124","4.124","4.124","0.49%"
"07/01/2023","4.104","4.104","4.104","4.104","0.71%"
"06/01/2023","4.075","4.075","4.075","4.075","-0.44%"
"05/01/2023","4.093","4.093","4.093","4.093","-2.15%"
"04/01/2023","4.183","4.183","4.183","4.183","2.07%"
"03/01/2023","4.098","4.098","4.098","4.098","-8.38%"
"02/01/2023","4.473","4.473","4.473","4.473","4.71%"
"01/01/2023","4.272","4.272","4.272","4.272","-9.18%"
"12/01/2022","4.704","4.704","4.704","4.704","21.39%"
"11/01/2022","3.875","3.875","3.875","3.875","-10.01%"
"10/01/2022","4.306","4.306","4.306","4.306","-4.46%"
"09/01/2022","4.507","4.507","4.507","4.507","15.92%"
"08/01/2022","3.888","3.888","3.888","3.888","23.51%"
"07/01/2022","3.148","3.148","3.148","3.148","-7.19%"
"06/01/2022","3.392","3.392","3.392","3.392","8.54%"
"05/01/2022","3.125","3.125","3.125","3.125","12.61%"
"04/01/2022","2.775","2.775","2.775","2.775","35.90%"
"03/01/2022","2.042","2.042","2.042","2.042","17.29%"
"02/01/2022","1.741","1.741","1.741","1.741","26.99%"
"01/01/2022","1.371","1.371","1.371","1.371","15.70%"
"12/01/2021","1.185","1.185","1.185","1.185","20.67%"
"11/01/2021","0.982","0.982","0.982","0.982","-13.40%"
"10/01/2021","1.134","1.134","1.134","1.134","31.40%"
"09/01/2021","0.863","0.863","0.863","0.863","21.21%"
"08/01/2021","0.712","0.712","0.712","0.712","13.56%"
"07/01/2021","0.627","0.627","0.627","0.627","-23.91%"
"06/01/2021","0.824","0.824","0.824","0.824","-10.04%"
"05/01/2021","0.916","0.916","0.916","0.916","6.51%"
"04/01/2021","0.860","0.860","0.860","0.860","28.55%"
"03/01/2021","0.669","0.669","0.669","0.669","-13.23%"
"02/01/2021","0.771","0.771","0.771","0.771","19.91%"
"01/01/2021","0.643","0.643","0.643","0.643","23.42%"
"12/01/2020","0.521","0.521","0.521","0.521","-10.94%"
"11/01/2020","0.585","0.585","0.585","0.585","-18.52%"
"10/01/2020","0.718","0.718","0.718","0.718","-17.47%"
"09/01/2020","0.870","0.870","0.870","0.870","-24.94%"
"08/01/2020","1.159","1.159","1.159","1.159","7.61%"
"07/01/2020","1.077","1.077","1.077","1.077","-18.84%"
"06/01/2020","1.327","1.327","1.327","1.327","-11.00%"
"05/01/2020","1.491","1.491","1.491","1.491","-16.09%"
"04/01/2020","1.777","1.777","1.777","1.777","15.84%"
"03/01/2020","1.534","1.534","1.534","1.534","36.11%"
"02/01/2020","1.127","1.127","1.127","1.127","21.97%"
"01/01/2020","0.924","0.924","0.924","0.924","-35.25%"
"12/01/2019","1.427","1.427","1.427","1.427","6.65%"
"11/01/2019","1.338","1.338","1.338","1.338","30.16%"
"10/01/2019","1.028","1.028","1.028","1.028","24.15%"
"09/01/2019","0.828","0.828","0.828","0.828","-19.85%"
"08/01/2019","1.033","1.033","1.033","1.033","-33.23%"
"07/01/2019","1.547","1.547","1.547","1.547","-25.98%"
"06/01/2019","2.090","2.090","2.090","2.090","-21.52%"
"05/01/2019","2.663","2.663","2.663","2.663","3.82%"
"04/01/2019","2.565","2.565","2.565","2.565","3.30%"
"03/01/2019","2.483","2.483","2.483","2.483","-10.04%"
"02/01/2019","2.760","2.760","2.760","2.760","6.48%"
"01/01/2019","2.592","2.592","2.592","2.592","-6.53%"
"12/01/2018","2.773","2.773","2.773","2.773","-13.67%"
"11/01/2018","3.212","3.212","3.212","3.212","-6.46%"
